Slno,Course,Vacant Seats,Differently Abled,College,District,College Sector,Course Sector
194,BSc - Botany,6,2,"Sree Narayana College for Women, Kollam",Kollam,Aided,Aided
195,BSc - Chemistry,12,2,"Sree Narayana College for Women, Kollam",Kollam,Aided,Aided
196,BSc - Geography,3,1,"Sree Narayana College for Women, Kollam",Kollam,Aided,Aided
197,BSc - Home Science,29,2,"Sree Narayana College for Women, Kollam",Kollam,Aided,Aided
198,BSc - Biochemistry and Industrial Microbiology,13,1,"Sree Narayana College for Women, Kollam",Kollam,Aided,Aided
199,BSc - Mathematics,29,3,"Sree Narayana College for Women, Kollam",Kollam,Aided,Aided
200,BSc - Physics,21,2,"Sree Narayana College for Women, Kollam",Kollam,Aided,Aided
201,BSc - Zoology,1,1,"Sree Narayana College for Women, Kollam",Kollam,Aided,Aided
202,BCom - Finance,1,0,"Sree Narayana College for Women, Kollam",Kollam,Aided,Aided
203,BA - Economics,42,2,"Sree Narayana College,Chengannur",Alappuzha,Aided,Aided
204,BSc - Chemistry,40,2,"Sree Narayana College,Chengannur",Alappuzha,Aided,Aided
205,BSc - Mathematics,41,2,"Sree Narayana College,Chengannur",Alappuzha,Aided,Aided
206,BSc - Physics,33,1,"Sree Narayana College,Chengannur",Alappuzha,Aided,Aided
207,BCom - Computer Application,18,1,"Sree Narayana College,Chengannur",Alappuzha,Aided,Aided
208,BA - Islamic History,13,1,"Mannaniya College Of Arts And Science, Kallara, Pangode",Thiruvananthapuram,Aided,Aided
209,BSc - Chemistry,14,1,"Mannaniya College Of Arts And Science, Kallara, Pangode",Thiruvananthapuram,Aided,Aided
210,BCom - Commerce & Tourism and Travel Management,0,2,"Mannaniya College Of Arts And Science, Kallara, Pangode",Thiruvananthapuram,Aided,Aided
211,BCom - Co-operation,0,2,"Mannaniya College Of Arts And Science, Kallara, Pangode",Thiruvananthapuram,Aided,Aided
212,BA - Economics and Media Studies,13,3,"Mannaniya College Of Arts And Science, Kallara, Pangode",Thiruvananthapuram,Aided,Aided
213,BA - English & Communicative English,23,2,"St Josephs College For Women, Alappuzha",Alappuzha,Aided,Aided
214,BA - English,12,2,"St Josephs College For Women, Alappuzha",Alappuzha,Aided,Aided
215,BA - History,7,2,"St Josephs College For Women, Alappuzha",Alappuzha,Aided,Aided
216,BSc - Botany,14,1,"St Josephs College For Women, Alappuzha",Alappuzha,Aided,Aided
217,BSc - Chemistry,20,1,"St Josephs College For Women, Alappuzha",Alappuzha,Aided,Aided
218,BSc - Home Science,19,1,"St Josephs College For Women, Alappuzha",Alappuzha,Aided,Aided
219,BSc - Mathematics,20,1,"St Josephs College For Women, Alappuzha",Alappuzha,Aided,Aided
220,BSc - Physics,18,1,"St Josephs College For Women, Alappuzha",Alappuzha,Aided,Aided
221,BSc - Zoology,17,1,"St Josephs College For Women, Alappuzha",Alappuzha,Aided,Aided
222,BCom - Finance,1,2,"St Josephs College For Women, Alappuzha",Alappuzha,Aided,Aided
223,BA - English & Communicative English,6,2,"Iqbal College, Peringamala",Thiruvananthapuram,Aided,Aided
224,BA - History,0,1,"Iqbal College, Peringamala",Thiruvananthapuram,Aided,Aided
225,BSc - Botany,8,1,"Iqbal College, Peringamala",Thiruvananthapuram,Aided,Aided
226,BSc - Mathematics,25,2,"Iqbal College, Peringamala",Thiruvananthapuram,Aided,Aided
227,BSc - Physics,11,1,"Iqbal College, Peringamala",Thiruvananthapuram,Aided,Aided
228,BSc - Zoology,3,1,"Iqbal College, Peringamala",Thiruvananthapuram,Aided,Aided
229,BCom - Finance,1,3,"Iqbal College, Peringamala",Thiruvananthapuram,Aided,Aided
230,BA - Economics and Media Studies,16,3,"Iqbal College, Peringamala",Thiruvananthapuram,Aided,Aided
231,BA - English & Communicative English,18,2,"All Saints' College,TVPM",Thiruvananthapuram,Aided,Aided
232,BA - Economics,3,2,"All Saints' College,TVPM",Thiruvananthapuram,Aided,Aided
233,BA - English,2,2,"All Saints' College,TVPM",Thiruvananthapuram,Aided,Aided
234,BA - History,2,1,"All Saints' College,TVPM",Thiruvananthapuram,Aided,Aided
235,BSc - Botany,1,2,"All Saints' College,TVPM",Thiruvananthapuram,Aided,Aided
236,BSc - Chemistry,13,2,"All Saints' College,TVPM",Thiruvananthapuram,Aided,Aided
237,BSc - Mathematics,26,2,"All Saints' College,TVPM",Thiruvananthapuram,Aided,Aided
238,BSc - Physics,0,1,"All Saints' College,TVPM",Thiruvananthapuram,Aided,Aided
239,BSc - Zoology,2,2,"All Saints' College,TVPM",Thiruvananthapuram,Aided,Aided
240,BCom - Travel and Tourism,1,2,"All Saints' College,TVPM",Thiruvananthapuram,Aided,Aided
241,BCom - Finance,1,1,"All Saints' College,TVPM",Thiruvananthapuram,Aided,Aided
242,BA - Arabic,3,1,"M S M College, Kayamkulam",Alappuzha,Aided,Aided
243,BA - English & Communicative English,6,3,"M S M College, Kayamkulam",Alappuzha,Aided,Aided
244,BA - Economics,0,2,"M S M College, Kayamkulam",Alappuzha,Aided,Aided
245,BA - English,1,2,"M S M College, Kayamkulam",Alappuzha,Aided,Aided
246,BA - History,0,1,"M S M College, Kayamkulam",Alappuzha,Aided,Aided
247,BA - Malayalam,2,2,"M S M College, Kayamkulam",Alappuzha,Aided,Aided
248,BA - Political Science,0,3,"M S M College, Kayamkulam",Alappuzha,Aided,Aided
249,BSc - Biotechnology,18,2,"M S M College, Kayamkulam",Alappuzha,Aided,Aided
250,BSc - Botany,23,2,"M S M College, Kayamkulam",Alappuzha,Aided,Aided
251,BSc - Chemistry,8,1,"M S M College, Kayamkulam",Alappuzha,Aided,Aided
252,BSc - Mathematics,19,2,"M S M College, Kayamkulam",Alappuzha,Aided,Aided
253,BSc - Physics,17,2,"M S M College, Kayamkulam",Alappuzha,Aided,Aided
254,BSc - Statistics,14,2,"M S M College, Kayamkulam",Alappuzha,Aided,Aided
255,BSc - Zoology,13,2,"M S M College, Kayamkulam",Alappuzha,Aided,Aided
256,BCom - Finance,0,2,"M S M College, Kayamkulam",Alappuzha,Aided,Aided
257,BCom - Co-operation,0,3,"M S M College, Kayamkulam",Alappuzha,Aided,Aided
258,BA - Economics,0,2,"Sree Narayana College, Chempazhanthy",Thiruvananthapuram,Aided,Aided
259,BA - English,2,2,"Sree Narayana College, Chempazhanthy",Thiruvananthapuram,Aided,Aided
260,BA - History,0,0,"Sree Narayana College, Chempazhanthy",Thiruvananthapuram,Aided,Aided
261,BA - Political Science,2,1,"Sree Narayana College, Chempazhanthy",Thiruvananthapuram,Aided,Aided
262,BSc - Psychology,0,1,"Sree Narayana College, Chempazhanthy",Thiruvananthapuram,Aided,Aided
263,BA - Sociology,0,1,"Sree Narayana College, Chempazhanthy",Thiruvananthapuram,Aided,Aided
264,BSc - Botany,1,2,"Sree Narayana College, Chempazhanthy",Thiruvananthapuram,Aided,Aided
265,BSc - Chemistry,1,2,"Sree Narayana College, Chempazhanthy",Thiruvananthapuram,Aided,Aided
266,BSc - Geology,0,1,"Sree Narayana College, Chempazhanthy",Thiruvananthapuram,Aided,Aided
267,BSc - Mathematics,9,2,"Sree Narayana College, Chempazhanthy",Thiruvananthapuram,Aided,Aided
268,BSc - Physics,1,2,"Sree Narayana College, Chempazhanthy",Thiruvananthapuram,Aided,Aided
269,BSc - Zoology,0,2,"Sree Narayana College, Chempazhanthy",Thiruvananthapuram,Aided,Aided
270,BCom - Co-operation,1,2,"Sree Narayana College, Chempazhanthy",Thiruvananthapuram,Aided,Aided
271,BA - Economics,0,0,"Christian College,Kattakada",Thiruvananthapuram,Aided,Aided
272,BA - History,0,0,"Christian College,Kattakada",Thiruvananthapuram,Aided,Aided
273,BSc - Botany,0,1,"Christian College,Kattakada",Thiruvananthapuram,Aided,Aided
274,BSc - Chemistry,0,1,"Christian College,Kattakada",Thiruvananthapuram,Aided,Aided
275,BSc - Mathematics,4,2,"Christian College,Kattakada",Thiruvananthapuram,Aided,Aided
276,BSc - Physics,1,2,"Christian College,Kattakada",Thiruvananthapuram,Aided,Aided
277,BSc - Statistics,10,2,"Christian College,Kattakada",Thiruvananthapuram,Aided,Aided
278,BSc - Zoology,0,1,"Christian College,Kattakada",Thiruvananthapuram,Aided,Aided
279,BCom - Computer Application,1,0,"Christian College,Kattakada",Thiruvananthapuram,Aided,Aided
280,BA - English,2,1,"Santhom Malankara Arts & Science College,Edanji",Thiruvananthapuram,Aided,Aided
281,BSc - Chemistry,4,2,"Santhom Malankara Arts & Science College,Edanji",Thiruvananthapuram,Aided,Aided
282,BCom - Finance,2,2,"Santhom Malankara Arts & Science College,Edanji",Thiruvananthapuram,Aided,Aided
283,BA - Economics,0,0,"V T M N S S College, Dhanuvachapuram",Thiruvananthapuram,Aided,Aided
284,BA - English,0,0,"V T M N S S College, Dhanuvachapuram",Thiruvananthapuram,Aided,Aided
285,BA - History,0,0,"V T M N S S College, Dhanuvachapuram",Thiruvananthapuram,Aided,Aided
286,BA - Malayalam,1,0,"V T M N S S College, Dhanuvachapuram",Thiruvananthapuram,Aided,Aided
287,BA - Political Science,0,0,"V T M N S S College, Dhanuvachapuram",Thiruvananthapuram,Aided,Aided
288,BSc - Botany,1,2,"V T M N S S College, Dhanuvachapuram",Thiruvananthapuram,Aided,Aided
